well_code;field_prefix;n_rows;rho_implied_ozna_kg_m3;rho_pvt_degassed_kg_m3;delta_pct
Vt_620;Vt;182;820.0;808.1644;1.46
Vt_630;Vt;61;825.0;808.1644;2.08
Vt_6301;Vt;2514;823.0;808.1644;1.84
Vt_6302;Vt;3739;820.0;808.1644;1.46
Vt_6304;Vt;1530;820.0;808.1644;1.46
Vt_6306;Vt;819;820.0;808.1644;1.46
Vt_6307;Vt;3384;820.0;808.1644;1.46
Vt_6308;Vt;2310;820.0;808.1644;1.46
Vt_6309;Vt;1725;820.0;808.1644;1.46
Vt_6310;Vt;2714;820.0;808.1644;1.46
Vt_6311;Vt;1867;820.0;808.1644;1.46
Vt_638;Vt;121;821.0;808.1644;1.59
Vt_643;Vt;2367;820.0;808.1644;1.46
Vt_645;Vt;474;820.0;808.1644;1.46
Vt_654;Vt;1541;820.0;808.1644;1.46
Vt_656;Vt;1018;823.0;808.1644;1.84
Vt_7801;Vt;3409;820.0;808.1644;1.46
Vt_7802;Vt;2991;820.0;808.1644;1.46
Vt_7804;Vt;516;820.0;808.1644;1.46
Vt_7805;Vt;559;820.0;808.1644;1.46
Vt_8104;Vt;182;825.0;808.1644;2.08
Vt_8106;Vt;182;824.0;808.1644;1.96
Vt_8107;Vt;121;825.0;808.1644;2.08
Vt_8108;Vt;696;827.0;808.1644;2.33
Vt_8109;Vt;61;823.0;808.1644;1.84
Vt_8111;Vt;152;815.0;808.1644;0.85
Vt_8202;Vt;598;825.0;808.1644;2.08
Vt_8203;Vt;510;817.0;808.1644;1.09
Vt_8204;Vt;469;820.0;808.1644;1.46
Vt_8205;Vt;1465;810.0;808.1644;0.23
Vt_8207;Vt;151;820.0;808.1644;1.46
Vt_8401;Vt;1210;826.0;808.1644;2.21
Vt_8402;Vt;2476;825.0;808.1644;2.08
Vt_8403;Vt;301;820.0;808.1644;1.46
Vt_8404;Vt;1420;823.0;808.1644;1.84
Vt_8405;Vt;592;820.0;808.1644;1.46
Vt_8406;Vt;607;831.0;808.1644;2.83
Vt_8407;Vt;302;818.0;808.1644;1.22
Vt_8408;Vt;181;818.0;808.1644;1.22
Vt_8409;Vt;795;823.0;808.1644;1.84
Vt_8410;Vt;905;825.0;808.1644;2.08
Vt_8411;Vt;633;825.0;808.1644;2.08
Vt_8702;Vt;302;817.0;808.1644;1.09
Vt_8703;Vt;302;820.0;808.1644;1.46
Vt_8704;Vt;1749;825.0;808.1644;2.08
Vt_8705;Vt;1879;818.0;808.1644;1.22
Vt_8706;Vt;1621;816.0;808.1644;0.97
Vt_8707;Vt;1788;817.0;808.1644;1.09
Vt_8708;Vt;1025;817.0;808.1644;1.09
Vt_8709;Vt;2155;810.0;808.1644;0.23
Vt_8710;Vt;790;814.0;808.1644;0.72
Vt_8711;Vt;876;818.0;808.1644;1.22
Vt_8801;Vt;3971;818.0;808.1644;1.22
Vt_8802;Vt;2653;820.0;808.1644;1.46
Vt_8803;Vt;2261;816.0;808.1644;0.97
Vt_8804;Vt;942;820.0;808.1644;1.46
Vt_8805;Vt;1389;830.0;808.1644;2.7
Vt_8806;Vt;5380;820.0;808.1644;1.46
Vt_8807;Vt;2048;820.0;808.1644;1.46
Vt_8808;Vt;1266;825.0;808.1644;2.08
Vt_8809;Vt;4155;818.0;808.1644;1.22
Vt_8810;Vt;121;817.0;808.1644;1.09
Vt_8811;Vt;542;822.0;808.1644;1.71
Vt_8812;Vt;967;817.0;808.1644;1.09
Vt_8902;Vt;181;820.0;808.1644;1.46
Vt_8903;Vt;447;805.0;808.1644;-0.39
Vt_8905;Vt;1080;825.0;808.1644;2.08
Vt_9101;Vt;816;834.0;808.1644;3.2
Vt_9102;Vt;2174;825.5;808.1644;2.15
Vt_9103;Vt;180;831.0;808.1644;2.83
Vt_9104;Vt;2479;818.0;808.1644;1.22
Vt_9105;Vt;2280;822.0;808.1644;1.71
Vt_9107;Vt;1910;820.0;808.1644;1.46
Vt_9108;Vt;605;819.0;808.1644;1.34
Vt_9403;Vt;845;825.0;808.1644;2.08
Vt_9404;Vt;724;821.0;808.1644;1.59
Vt_9405;Vt;782;825.0;808.1644;2.08
Vt_9406;Vt;786;820.0;808.1644;1.46
